 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
49.00   49.00   201.00   201.00   2.000E-01   1.500E-01   5.355E-02    6.446E-08     9.646E-01      0.000E+00     0.000E+00     1.201E-01      0      0    1.000      3        1    -0.019    0.000 
50.00   50.00   201.00   201.00   2.000E-01   1.500E-01   4.462E-02    6.185E-08     9.634E-01      0.000E+00     0.000E+00     1.163E-01      0      0    1.000      3        1    -0.019    0.000 
51.00   51.00   201.00   201.00   2.000E-01   1.500E-01   3.470E-02    5.939E-08     9.621E-01      0.000E+00     0.000E+00     1.122E-01      0      0    1.000      3        1    -0.019    0.000 
52.00   52.00   201.00   201.00   2.000E-01   1.500E-01   2.490E-02    5.707E-08     9.605E-01      0.000E+00     0.000E+00     1.078E-01      0      0    1.000      3        1    -0.019    0.000 
53.00   53.00   201.00   201.00   2.000E-01   1.500E-01   1.606E-02    5.488E-08     9.588E-01      0.000E+00     0.000E+00     1.032E-01      0      0    1.000      3        1    -0.019    0.000 
54.00   54.00   201.00   201.00   2.000E-01   1.500E-01   9.178E-03    5.281E-08     9.567E-01      0.000E+00     0.000E+00     9.825E-02      0      0    1.000      3        1    -0.019    0.000 
55.00   55.00   201.00   201.00   2.000E-01   1.500E-01   4.648E-03    5.086E-08     9.542E-01      0.000E+00     0.000E+00     9.292E-02      0      0    1.000      3        1    -0.019    0.000 
56.00   56.00   201.00   201.00   2.000E-01   1.500E-01   2.116E-03    4.902E-08     9.512E-01      0.000E+00     0.000E+00     8.715E-02      0      0    1.000      3        1    -0.019    0.000 
57.00   57.00   201.00   201.00   2.000E-01   1.500E-01   8.787E-04    4.727E-08     9.474E-01      0.000E+00     0.000E+00     8.083E-02      0      0    1.000      3        1    -0.019    0.000 
58.00   58.00   201.00   201.00   2.000E-01   1.500E-01   3.354E-04    4.561E-08     9.424E-01      0.000E+00     0.000E+00     7.381E-02      0      0    1.000      3        1    -0.019    0.000 
59.00   59.00   201.00   201.00   2.000E-01   1.500E-01   1.174E-04    4.404E-08     9.354E-01      0.000E+00     0.000E+00     6.585E-02      0      0    1.000      3        1    -0.018    0.000 
