 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
140.00   140.00   201.00   201.00   2.000E-02   1.000E-03   1.166E-03    7.431E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.008    0.000 
141.00   141.00   201.00   201.00   2.000E-02   1.000E-03   1.182E-03    7.323E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.008    0.000 
142.00   142.00   201.00   201.00   2.000E-02   1.000E-03   1.198E-03    7.217E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.008    0.000 
143.00   143.00   201.00   201.00   2.000E-02   1.000E-03   1.215E-03    7.113E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.008    0.000 
144.00   144.00   201.00   201.00   2.000E-02   1.000E-03   1.233E-03    7.012E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.008    0.000 
145.00   145.00   201.00   201.00   2.000E-02   1.000E-03   1.253E-03    6.913E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.008    0.000 
146.00   146.00   201.00   201.00   2.000E-02   1.000E-03   1.273E-03    6.815E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.007    0.000 
147.00   147.00   201.00   201.00   2.000E-02   1.000E-03   1.294E-03    6.638E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.007    0.000 
148.00   148.00   201.00   201.00   2.000E-02   1.000E-03   1.316E-03    6.548E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.007    0.000 
149.00   149.00   201.00   201.00   2.000E-02   1.000E-03   1.340E-03    6.460E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.007    0.000 
150.00   150.00   201.00   201.00   2.000E-02   1.000E-03   1.425E-03    6.373E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.007    0.000 
151.00   151.00   201.00   201.00   2.000E-02   1.000E-03   1.451E-03    6.288E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.007    0.000 
152.00   152.00   201.00   201.00   2.000E-02   1.000E-03   1.479E-03    6.205E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.007    0.000 
153.00   153.00   201.00   201.00   2.000E-02   1.000E-03   1.508E-03    6.123E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.006    0.000 
