 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
95.00   95.00   201.00   201.00   -5.000E-01   4.000E+00   5.006E-03    1.033E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.014    0.000 
96.00   96.00   201.00   201.00   -5.000E-01   4.000E+00   5.520E-03    1.011E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.014    0.000 
97.00   97.00   201.00   201.00   -5.000E-01   4.000E+00   6.134E-03    9.898E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.014    0.000 
98.00   98.00   201.00   201.00   -5.000E-01   4.000E+00   6.793E-03    9.691E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.014    0.000 
99.00   99.00   201.00   201.00   -5.000E-01   4.000E+00   7.522E-03    9.490E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.014    0.000 
100.00   100.00   201.00   201.00   -5.000E-01   4.000E+00   8.320E-03    9.295E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.014    0.000 
101.00   101.00   201.00   201.00   -5.000E-01   4.000E+00   9.185E-03    9.106E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.013    0.000 
102.00   102.00   201.00   201.00   -5.000E-01   4.000E+00   1.011E-02    8.923E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.013    0.000 
103.00   103.00   201.00   201.00   -5.000E-01   4.000E+00   1.109E-02    8.745E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.013    0.000 
104.00   104.00   201.00   201.00   -5.000E-01   4.000E+00   1.209E-02    8.573E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.013    0.000 
